id,species,country,locality,nwhi,sequenced_coi,sequenced_cytb,lon,lat,source
Pta-134,Plagiotremus tapeinosoma,Kiribati,Kiritimati,0,0,0,-157.4278119,1.8721347,sequenced
Pta-135,Plagiotremus tapeinosoma,Kiribati,Kiritimati,0,1,0,-157.4278119,1.8721347,sequenced
Pta-136,Plagiotremus tapeinosoma,Kiribati,Kiritimati,0,1,0,-157.4278119,1.8721347,sequenced
Pta-137,Plagiotremus tapeinosoma,Kiribati,Kiritimati,0,1,0,-157.4278119,1.8721347,sequenced
Pta-138,Plagiotremus tapeinosoma,Kiribati,Kiritimati,0,1,0,-157.4278119,1.8721347,sequenced
Pta-139,Plagiotremus tapeinosoma,Kiribati,Kiritimati,0,1,0,-157.4278119,1.8721347,sequenced
Pta-140,Plagiotremus tapeinosoma,Kiribati,Kiritimati,0,1,0,-157.4278119,1.8721347,sequenced
Pta-141,Plagiotremus tapeinosoma,Kiribati,Kiritimati,0,1,0,-157.4278119,1.8721347,sequenced
Pta-142,Plagiotremus tapeinosoma,Kiribati,Kiritimati,0,0,0,-157.4278119,1.8721347,sequenced
Pta-143,Plagiotremus tapeinosoma,Kiribati,Kiritimati,0,1,0,-157.4278119,1.8721347,sequenced
Pta-144,Plagiotremus tapeinosoma,Kiribati,Kiritimati,0,1,0,-157.4278119,1.8721347,sequenced
Pta-145,Plagiotremus tapeinosoma,Kiribati,Kiritimati,0,1,0,-157.4278119,1.8721347,sequenced
Pew-001,Plagiotremus ewaensis,United States,Hawaii,0,0,0,-155.6658568,19.5429151,sequenced
Pew-002,Plagiotremus ewaensis,United States,Oahu,0,0,0,-158.0000565,21.4389123,sequenced
Pew-003,Plagiotremus ewaensis,United States,Maui,0,0,0,-156.3319253,20.7983626,sequenced
Pew-014,Plagiotremus ewaensis,United States,Kauai,0,0,0,-159.5261238,22.0964396,sequenced
Pew-015,Plagiotremus ewaensis,United States,Kauai,0,1,0,-159.5261238,22.0964396,sequenced
Pew-016,Plagiotremus ewaensis,United States,Kauai,0,1,0,-159.5261238,22.0964396,sequenced
Pew-017,Plagiotremus ewaensis,United States,Kauai,0,1,0,-159.5261238,22.0964396,sequenced
Pew-018,Plagiotremus ewaensis,United States,Oahu,0,1,0,-158.0000565,21.4389123,sequenced
Pew-019,Plagiotremus ewaensis,United States,Hawaii,0,1,0,-155.6658568,19.5429151,sequenced
Pew-020,Plagiotremus ewaensis,United States,Oahu,0,0,0,-158.0000565,21.4389123,sequenced
Pew-021,Plagiotremus ewaensis,United States,Oahu,0,0,0,-158.0000565,21.4389123,sequenced
Pew-022,Plagiotremus ewaensis,United States,Oahu,0,1,0,-158.0000565,21.4389123,sequenced
Pew-023,Plagiotremus ewaensis,United States,Oahu,0,1,0,-158.0000565,21.4389123,sequenced
Pew-024,Plagiotremus ewaensis,United States,Oahu,0,0,0,-158.0000565,21.4389123,sequenced
Pew-027,Plagiotremus ewaensis,United States,Kaula Rock,0,1,0,-160.5421111,21.6547332,sequenced
Pew-028,Plagiotremus ewaensis,United States,Kaula Rock,0,1,0,-160.5421111,21.6547332,sequenced
Pew-029,Plagiotremus ewaensis,United States,Kaula Rock,0,0,0,-160.5421111,21.6547332,sequenced
Pew-030,Plagiotremus ewaensis,United States,Kaula Rock,0,1,0,-160.5421111,21.6547332,sequenced
Pew-036,Plagiotremus ewaensis,United States,Oahu,0,1,0,-158.0000565,21.4389123,sequenced
Pew-054,Plagiotremus ewaensis,United States,Hawaii,0,1,0,-155.6658568,19.5429151,sequenced
Pew-055,Plagiotremus ewaensis,United States,Hawaii,0,1,0,-155.6658568,19.5429151,sequenced
Pew-056,Plagiotremus ewaensis,United States,Hawaii,0,0,0,-155.6658568,19.5429151,sequenced
Pgo-018,Plagiotremus goslinei,United States,Kauai,0,1,1,-159.5261238,22.0964396,sequenced
Pgo-019,Plagiotremus goslinei,United States,Kauai,0,1,1,-159.5261238,22.0964396,sequenced
Pgo-020,Plagiotremus goslinei,United States,Kauai,0,1,1,-159.5261238,22.0964396,sequenced
Pgo-021,Plagiotremus goslinei,United States,Kauai,0,1,1,-159.5261238,22.0964396,sequenced
Pgo-022,Plagiotremus goslinei,United States,Kauai,0,1,1,-159.5261238,22.0964396,sequenced
Pgo-023,Plagiotremus goslinei,United States,Kauai,0,1,1,-159.5261238,22.0964396,sequenced
Pgo-024,Plagiotremus goslinei,United States,Kauai,0,1,1,-159.5261238,22.0964396,sequenced
Pgo-025,Plagiotremus goslinei,United States,Kauai,0,1,1,-159.5261238,22.0964396,sequenced
Pgo-026,Plagiotremus goslinei,United States,Kauai,0,1,1,-159.5261238,22.0964396,sequenced
Pgo-027,Plagiotremus goslinei,United States,Hawaii,0,1,1,-155.6658568,19.5429151,sequenced
Pgo-028,Plagiotremus goslinei,United States,Hawaii,0,1,1,-155.6658568,19.5429151,sequenced
Pgo-029,Plagiotremus goslinei,United States,Hawaii,0,1,1,-155.6658568,19.5429151,sequenced
Pgo-038,Plagiotremus goslinei,United States,Oahu,0,1,1,-158.0000565,21.4389123,sequenced
Pgo-050,Plagiotremus goslinei,United States,Kaula Rock,0,1,1,-160.5421111,21.6547332,sequenced
Pgo-051,Plagiotremus goslinei,United States,Kaula Rock,0,1,1,-160.5421111,21.6547332,sequenced
Pgo-052,Plagiotremus goslinei,United States,Kaula Rock,0,1,1,-160.5421111,21.6547332,sequenced
Pgo-058,Plagiotremus goslinei,United States,Oahu,0,1,0,-158.0000565,21.4389123,sequenced
Pgo-083,Plagiotremus goslinei,United States,Niihau,0,1,1,-160.1574878,21.8921433,sequenced
Pgo-084,Plagiotremus goslinei,United States,Niihau,0,1,1,-160.1574878,21.8921433,sequenced
Pgo-085,Plagiotremus goslinei,United States,Niihau,0,0,1,-160.1574878,21.8921433,sequenced
Pta-001,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,0,1,-140.1420882,-8.8604808,sequenced
Pta-086,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,0,-140.1420882,-8.8604808,sequenced
Pta-087,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,1,-140.1420882,-8.8604808,sequenced
Pta-088,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,1,-140.1420882,-8.8604808,sequenced
Pta-089,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,0,-140.1420882,-8.8604808,sequenced
Pta-090,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,0,1,-140.1420882,-8.8604808,sequenced
Pta-091,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,1,-140.1420882,-8.8604808,sequenced
Pta-092,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,0,-140.1420882,-8.8604808,sequenced
Pta-093,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,0,-140.1420882,-8.8604808,sequenced
Pta-094,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,0,1,-140.1420882,-8.8604808,sequenced
Pta-095,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,0,-140.1420882,-8.8604808,sequenced
Pta-096,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,0,-140.1420882,-8.8604808,sequenced
Pta-097,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,0,-140.1420882,-8.8604808,sequenced
Pta-098,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,0,-140.1420882,-8.8604808,sequenced
Pta-099,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,1,-140.1420882,-8.8604808,sequenced
Pta-100,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,0,-140.1420882,-8.8604808,sequenced
Pta-101,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,0,0,-140.1420882,-8.8604808,sequenced
Pta-102,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,0,-140.1420882,-8.8604808,sequenced
Pta-103,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,0,-140.1420882,-8.8604808,sequenced
Pta-104,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,0,-140.1420882,-8.8604808,sequenced
Pta-105,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,1,-140.1420882,-8.8604808,sequenced
Pta-106,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,0,-140.1420882,-8.8604808,sequenced
Pta-109,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,1,-140.1420882,-8.8604808,sequenced
Pta-110,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,0,-140.1420882,-8.8604808,sequenced
Pta-111,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,0,1,-140.1420882,-8.8604808,sequenced
Pta-113,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,0,-140.1420882,-8.8604808,sequenced
Pta-114,Plagiotremus tapeinosoma,Marquesas,Nuku Hiva,0,1,0,-140.1420882,-8.8604808,sequenced
Pew-004,Plagiotremus ewaensis,United States,French Frigate Shoals,1,1,0,-166.146111,23.748889,sequenced
Pew-005,Plagiotremus ewaensis,United States,French Frigate Shoals,1,0,0,-166.146111,23.748889,sequenced
Pew-006,Plagiotremus ewaensis,United States,Pearl and Hermes Reef,1,1,0,-175.8333333,27.8333333,sequenced
Pew-007,Plagiotremus ewaensis,United States,French Frigate Shoals,1,1,0,-166.146111,23.748889,sequenced
Pew-008,Plagiotremus ewaensis,United States,Pearl and Hermes Reef,1,1,0,-175.8333333,27.8333333,sequenced
Pew-009,Plagiotremus ewaensis,United States,Pearl and Hermes Reef,1,0,0,-175.8333333,27.8333333,sequenced
Pew-010,Plagiotremus ewaensis,United States,Pearl and Hermes Reef,1,0,0,-175.8333333,27.8333333,sequenced
Pew-011,Plagiotremus ewaensis,United States,Pearl and Hermes Reef,1,1,0,-175.8333333,27.8333333,sequenced
Pew-012,Plagiotremus ewaensis,United States,French Frigate Shoals,1,1,0,-166.146111,23.748889,sequenced
Pew-013,Plagiotremus ewaensis,United States,French Frigate Shoals,1,1,0,-166.146111,23.748889,sequenced
Pew-025,Plagiotremus ewaensis,United States,Gardner Pinnacles,1,0,0,-167.9987546,24.9988106,sequenced
Pew-026,Plagiotremus ewaensis,United States,Laysan,1,1,0,-171.7322061,25.7678534,sequenced
Pew-031,Plagiotremus ewaensis,United States,Midway Atoll,1,0,0,-177.3734926,28.2072168,sequenced
Pew-032,Plagiotremus ewaensis,United States,Midway Atoll,1,0,0,-177.3734926,28.2072168,sequenced
Pew-033,Plagiotremus ewaensis,United States,Pearl and Hermes Reef,1,1,0,-175.8333333,27.8333333,sequenced
Pew-034,Plagiotremus ewaensis,United States,Pearl and Hermes Reef,1,1,0,-175.8333333,27.8333333,sequenced
Pew-035,Plagiotremus ewaensis,United States,French Frigate Shoals,1,0,0,-166.146111,23.748889,sequenced
Pew-041,Plagiotremus ewaensis,United States,Midway Atoll,1,1,0,-177.3734926,28.2072168,sequenced
Pew-042,Plagiotremus ewaensis,United States,Midway Atoll,1,1,0,-177.3734926,28.2072168,sequenced
Pew-043,Plagiotremus ewaensis,United States,Midway Atoll,1,0,0,-177.3734926,28.2072168,sequenced
Pew-044,Plagiotremus ewaensis,United States,Midway Atoll,1,0,0,-177.3734926,28.2072168,sequenced
Pew-045,Plagiotremus ewaensis,United States,Necker Island,1,1,0,-164.7002777,23.5749114,sequenced
Pew-046,Plagiotremus ewaensis,United States,Necker Island,1,0,0,-164.7002777,23.5749114,sequenced
Pew-047,Plagiotremus ewaensis,United States,Pearl and Hermes Reef,1,0,0,-175.8333333,27.8333333,sequenced
Pew-048,Plagiotremus ewaensis,United States,Pearl and Hermes Reef,1,1,0,-175.8333333,27.8333333,sequenced
Pew-049,Plagiotremus ewaensis,United States,Nihoa,1,0,0,-161.9218243,23.0604578,sequenced
Pew-050,Plagiotremus ewaensis,United States,Nihoa,1,0,0,-161.9218243,23.0604578,sequenced
Pew-051,Plagiotremus ewaensis,United States,Nihoa,1,1,0,-161.9218243,23.0604578,sequenced
Pew-052,Plagiotremus ewaensis,United States,Nihoa,1,1,0,-161.9218243,23.0604578,sequenced
Pew-053,Plagiotremus ewaensis,United States,Lisianski,1,0,0,-173.9664886,26.0662286,sequenced
Pew-057,Plagiotremus ewaensis,United States,Midway Atoll,1,1,0,-177.3734926,28.2072168,sequenced
Pew-058,Plagiotremus ewaensis,United States,Midway Atoll,1,1,0,-177.3734926,28.2072168,sequenced
Pew-059,Plagiotremus ewaensis,United States,Midway Atoll,1,0,0,-177.3734926,28.2072168,sequenced
Pew-060,Plagiotremus ewaensis,United States,Midway Atoll,1,1,0,-177.3734926,28.2072168,sequenced
Pew-061,Plagiotremus ewaensis,United States,Midway Atoll,1,1,0,-177.3734926,28.2072168,sequenced
Pew-062,Plagiotremus ewaensis,United States,Midway Atoll,1,1,0,-177.3734926,28.2072168,sequenced
Pew-063,Plagiotremus ewaensis,United States,Midway Atoll,1,1,0,-177.3734926,28.2072168,sequenced
Pew-064,Plagiotremus ewaensis,United States,Midway Atoll,1,1,0,-177.3734926,28.2072168,sequenced
Pew-065,Plagiotremus ewaensis,United States,Midway Atoll,1,1,0,-177.3734926,28.2072168,sequenced
Pew-066,Plagiotremus ewaensis,United States,Midway Atoll,1,0,0,-177.3734926,28.2072168,sequenced
Pew-067,Plagiotremus ewaensis,United States,Midway Atoll,1,1,0,-177.3734926,28.2072168,sequenced
Pew-068,Plagiotremus ewaensis,United States,Midway Atoll,1,1,0,-177.3734926,28.2072168,sequenced
Pew-069,Plagiotremus ewaensis,United States,Midway Atoll,1,1,0,-177.3734926,28.2072168,sequenced
Pew-070,Plagiotremus ewaensis,United States,Nihoa,1,1,0,-161.9218243,23.0604578,sequenced
Pew-071,Plagiotremus ewaensis,United States,Nihoa,1,1,0,-161.9218243,23.0604578,sequenced
Pgo-001,Plagiotremus goslinei,United States,Maro Reef,1,1,1,-170.59,25.415,sequenced
Pgo-002,Plagiotremus goslinei,United States,Maro Reef,1,1,1,-170.59,25.415,sequenced
Pgo-003,Plagiotremus goslinei,United States,Maro Reef,1,1,1,-170.59,25.415,sequenced
Pgo-004,Plagiotremus goslinei,United States,Maro Reef,1,1,1,-170.59,25.415,sequenced
Pgo-005,Plagiotremus goslinei,United States,Maro Reef,1,1,1,-170.59,25.415,sequenced
Pgo-006,Plagiotremus goslinei,United States,Maro Reef,1,1,1,-170.59,25.415,sequenced
Pgo-007,Plagiotremus goslinei,United States,Maro Reef,1,1,1,-170.59,25.415,sequenced
Pgo-008,Plagiotremus goslinei,United States,Maro Reef,1,1,1,-170.59,25.415,sequenced
Pgo-009,Plagiotremus goslinei,United States,Maro Reef,1,1,1,-170.59,25.415,sequenced
Pgo-010,Plagiotremus goslinei,United States,Maro Reef,1,1,1,-170.59,25.415,sequenced
Pgo-011,Plagiotremus goslinei,United States,Maro Reef,1,1,1,-170.59,25.415,sequenced
Pgo-012,Plagiotremus goslinei,United States,Maro Reef,1,1,1,-170.59,25.415,sequenced
Pgo-013,Plagiotremus goslinei,United States,Maro Reef,1,1,1,-170.59,25.415,sequenced
Pgo-014,Plagiotremus goslinei,United States,Midway Atoll,1,1,0,-177.3734926,28.2072168,sequenced
Pgo-015,Plagiotremus goslinei,United States,Midway Atoll,1,1,1,-177.3734926,28.2072168,sequenced
Pgo-016,Plagiotremus goslinei,United States,French Frigate Shoals,1,1,0,-166.146111,23.748889,sequenced
Pgo-017,Plagiotremus goslinei,United States,French Frigate Shoals,1,1,1,-166.146111,23.748889,sequenced
Pgo-030,Plagiotremus goslinei,United States,Nihoa,1,1,0,-161.9218243,23.0604578,sequenced
Pgo-031,Plagiotremus goslinei,United States,Midway Atoll,1,0,1,-177.3734926,28.2072168,sequenced
Pgo-032,Plagiotremus goslinei,United States,Midway Atoll,1,1,0,-177.3734926,28.2072168,sequenced
Pgo-033,Plagiotremus goslinei,United States,French Frigate Shoals,1,1,1,-166.146111,23.748889,sequenced
Pgo-034,Plagiotremus goslinei,United States,French Frigate Shoals,1,1,1,-166.146111,23.748889,sequenced
Pgo-035,Plagiotremus goslinei,United States,French Frigate Shoals,1,0,1,-166.146111,23.748889,sequenced
Pgo-036,Plagiotremus goslinei,United States,French Frigate Shoals,1,0,1,-166.146111,23.748889,sequenced
Pgo-037,Plagiotremus goslinei,United States,French Frigate Shoals,1,0,1,-166.146111,23.748889,sequenced
Pgo-039,Plagiotremus goslinei,United States,Midway Atoll,1,1,1,-177.3734926,28.2072168,sequenced
Pgo-040,Plagiotremus goslinei,United States,Midway Atoll,1,1,1,-177.3734926,28.2072168,sequenced
Pgo-041,Plagiotremus goslinei,United States,Midway Atoll,1,1,1,-177.3734926,28.2072168,sequenced
Pgo-042,Plagiotremus goslinei,United States,Midway Atoll,1,0,1,-177.3734926,28.2072168,sequenced
Pgo-043,Plagiotremus goslinei,United States,Midway Atoll,1,0,1,-177.3734926,28.2072168,sequenced
Pgo-044,Plagiotremus goslinei,United States,Midway Atoll,1,1,1,-177.3734926,28.2072168,sequenced
Pgo-045,Plagiotremus goslinei,United States,Midway Atoll,1,1,1,-177.3734926,28.2072168,sequenced
Pgo-046,Plagiotremus goslinei,United States,French Frigate Shoals,1,1,1,-166.146111,23.748889,sequenced
Pgo-047,Plagiotremus goslinei,United States,French Frigate Shoals,1,1,1,-166.146111,23.748889,sequenced
Pgo-048,Plagiotremus goslinei,United States,French Frigate Shoals,1,1,1,-166.146111,23.748889,sequenced
Pgo-049,Plagiotremus goslinei,United States,French Frigate Shoals,1,1,1,-166.146111,23.748889,sequenced
Pgo-053,Plagiotremus goslinei,United States,Midway Atoll,1,0,1,-177.3734926,28.2072168,sequenced
Pgo-054,Plagiotremus goslinei,United States,French Frigate Shoals,1,1,1,-166.146111,23.748889,sequenced
Pgo-055,Plagiotremus goslinei,United States,French Frigate Shoals,1,0,1,-166.146111,23.748889,sequenced
Pgo-056,Plagiotremus goslinei,United States,French Frigate Shoals,1,1,1,-166.146111,23.748889,sequenced
Pgo-057,Plagiotremus goslinei,United States,Midway Atoll,1,1,1,-177.3734926,28.2072168,sequenced
Pgo-059,Plagiotremus goslinei,United States,French Frigate Shoals,1,0,0,-166.146111,23.748889,sequenced
Pgo-061,Plagiotremus goslinei,United States,Kure Atoll,1,0,1,-178.2935519,28.392533,sequenced
Pgo-064,Plagiotremus goslinei,United States,Kure Atoll,1,0,1,-178.2935519,28.392533,sequenced
Pgo-067,Plagiotremus goslinei,United States,Midway Atoll,1,0,1,-177.3734926,28.2072168,sequenced
Pgo-068,Plagiotremus goslinei,United States,Midway Atoll,1,0,1,-177.3734926,28.2072168,sequenced
Pgo-069,Plagiotremus goslinei,United States,Midway Atoll,1,0,1,-177.3734926,28.2072168,sequenced
Pgo-070,Plagiotremus goslinei,United States,Midway Atoll,1,0,1,-177.3734926,28.2072168,sequenced
Pgo-071,Plagiotremus goslinei,United States,Midway Atoll,1,0,1,-177.3734926,28.2072168,sequenced
Pgo-072,Plagiotremus goslinei,United States,Laysan,1,1,1,-171.7322061,25.7678534,sequenced
Pgo-073,Plagiotremus goslinei,United States,French Frigate Shoals,1,0,1,-166.146111,23.748889,sequenced
Pgo-074,Plagiotremus goslinei,United States,French Frigate Shoals,1,0,1,-166.146111,23.748889,sequenced
Pgo-075,Plagiotremus goslinei,United States,Midway Atoll,1,0,1,-177.3734926,28.2072168,sequenced
Pgo-076,Plagiotremus goslinei,United States,Midway Atoll,1,0,1,-177.3734926,28.2072168,sequenced
Pgo-077,Plagiotremus goslinei,United States,Midway Atoll,1,0,0,-177.3734926,28.2072168,sequenced
