id	species	island	country	region
Pta-025	Plagiotremus tapeinosoma	Moorea	French Polynesia	South Pacific
Pta-026	Plagiotremus tapeinosoma	Moorea	French Polynesia	South Pacific
Pta-027	Plagiotremus tapeinosoma	Moorea	French Polynesia	South Pacific
Pta-028	Plagiotremus tapeinosoma	Moorea	French Polynesia	South Pacific
Pta-031	Plagiotremus tapeinosoma	Moorea	French Polynesia	South Pacific
Pta-032	Plagiotremus tapeinosoma	Moorea	French Polynesia	South Pacific
Pta-033	Plagiotremus tapeinosoma	Moorea	French Polynesia	South Pacific
Prh-001	Plagiotremus rhinorhynchos	Palau	Palau	West Pacific
Prh-005	Plagiotremus rhinorhynchos	Palau	Palau	West Pacific
Prh-006	Plagiotremus rhinorhynchos	Palau	Palau	West Pacific
Pta-016	Plagiotremus tapeinosoma	Palau	Palau	West Pacific
Pta-017	Plagiotremus tapeinosoma	Palau	Palau	West Pacific
Prh-002	Plagiotremus rhinorhynchos	Palau	Palau	West Pacific
Prh-003	Plagiotremus rhinorhynchos	Palau	Palau	West Pacific
Prh-004	Plagiotremus rhinorhynchos	Palau	Palau	West Pacific
Prh-007	Plagiotremus rhinorhynchos	Palau	Palau	West Pacific
Prh-008	Plagiotremus rhinorhynchos	Palau	Palau	West Pacific
Pta-014	Plagiotremus tapeinosoma	Palau	Palau	West Pacific
Pta-018	Plagiotremus tapeinosoma	Palau	Palau	West Pacific
Pta-015	Plagiotremus tapeinosoma	Palau	Palau	West Pacific
Pta-064	Plagiotremus tapeinosoma	Kwajalein	RMI	West Pacific
Pta-065	Plagiotremus tapeinosoma	Kwajalein	RMI	West Pacific
Pta-066	Plagiotremus tapeinosoma	Kwajalein	RMI	West Pacific
Pta-067	Plagiotremus tapeinosoma	Kwajalein	RMI	West Pacific
Pta-068	Plagiotremus tapeinosoma	Kwajalein	RMI	West Pacific
Pta-069	Plagiotremus tapeinosoma	Kwajalein	RMI	West Pacific
Pta-070	Plagiotremus tapeinosoma	Kwajalein	RMI	West Pacific
Pta-071	Plagiotremus tapeinosoma	Kwajalein	RMI	West Pacific
Pta-075	Plagiotremus tapeinosoma	Kwajalein	RMI	West Pacific
Pta-076	Plagiotremus tapeinosoma	Kwajalein	RMI	West Pacific
Pta-077	Plagiotremus tapeinosoma	Kwajalein	RMI	West Pacific
Pta-060	Plagiotremus tapeinosoma	Kwajalein	RMI	West Pacific
Pta-061	Plagiotremus tapeinosoma	Kwajalein	RMI	West Pacific
Pta-062	Plagiotremus tapeinosoma	Kwajalein	RMI	West Pacific
Pta-063	Plagiotremus tapeinosoma	Kwajalein	RMI	West Pacific
Pta-078	Plagiotremus tapeinosoma	Majuro	RMI	West Pacific
Pta-013	Plagiotremus tapeinosoma	Kwajalein	RMI	West Pacific
